Idioms,Translation(Literal meaning),Idomatic expression Meaning
Ta téru nípàá,Kick the calico fabric,To die
Júbà ehoro,Pay homage to the hare,To run away
Fi àáké kọ́rí,Hang an axe on the head,Insist completely
Tutọ́ sókè fojú gbà á,"Spit upward and let it land back on your face,",Be excessively angry.
Ru igi Oyin,Carry a tree with honey bees on the head,Throw oneself into trouble.
Gbèkuru jẹ lọ́wọ́ ẹbọra,Take white beancake from a ghost,To die.
Fẹ́wọ́,Blow the hand,To steal.
Kọtí ikún,Turning the ear of a ground squirrel,Refuse to listen.
Pọnmi sí ajádìí apẹ̀rẹ̀,Fetch water into a basket without a base,Engage in a wasted effort.
Kó ẹrẹ̀ bá èèyàn,Stain someone with dirt,Involve someone in a mess.
Àkàrà tú sépò,A bean cake spills into the oil,A secret is exposed.
Sọ ojú abẹ ní ìkó,Give the blade a knock,Break its edge.
Kókó ń bẹ lẹ́fọ̀ọ́,There is a lump in the vegetable,Someone not supposed to hear is around
Kojú ẹni sí oòrùn alẹ́,Turn someone’s face to the evening sun,To disappoint someone.
Fún èèyàn ní igbó dídí sán,To give someone a dense forest to clear,To give someone tedious work to do
Gun ẹṣin abónímú,Ride a dangerous horse,To endanger one’s life.
Ọbá wàjà,The king entered the roof.,The king died
Gbé ááyán mì,Swallow a cockroach.,Got pregnant
Fì ìdí rẹ omi,Soak one’s bottom in water.,Failed
Na pápá bora,Cover yourself with bush savannah.,Run away
Làkàsọ́rọ̀,corrupt coinage from La casera drink,no story/end of discussion
aláṣàkaṣà,owner of bad culture,vulgar person or user of nonsensical language
Elébòlo,seller of ebòlò vegetable,A prostitute
Ẹ e ̣́ tí ì rí nǹkan kan,You have not seen anythin,"Greater show awaits you that is just a tip of
the iceberg."
"Ojúyọbọ́
 ", bulging eyes,Physical description of an under-achiever
Ó bọ́ je ̣́ tì',it would never retrogress or go backward ,"Positive assertion for support or collective action for good governance
"
Àjùmoṣ̣́e ,collective implementation ,governance is a collective responsibility 
Jẹun sápò ,eat into the pocket,enrich your pocket
Bá òde pàdé,Meet the outside,Suffer repercussion 
Fi ojú olóore gúngi,Poke a stick into the eyes of one's benefactor,Ungrateful 
Dọ́kọ délé dánímọ́,doing prostitute in Danimo house,cautionary reminder
Jẹ orí ahun,eat the head of toitose ,Wicked
Jẹ Àgbọ̀rín èṣí lọ́bẹ̀,Eating last year's deer in a stew,Not to be updated with the latest news
Jẹ ẹran déegun,eat meat to the bone,the experience of reaching the absolute limit of a situation
Gbin ẹ̀pà sí oko ikún,Planting groundnuts in the farm of a ground squirrel,Self-Sabotage
Jẹ ẹ̀gún mọ́yán,eating thorns along with the pounded yam,The danger of carelessness
Fi ẹ̀jẹ̀ sínú tutọ́ funfun jáde,Put blood inside body and spit white saliva ,To be deceitful 
Àkàra tú sépo,Beans cake scater inside oil,Truth get exposed
Gbé oúnjẹ alẹ́ fún ológbò jẹ,Give night food to cat,not to deprive yourself to provide for someone who is already self-sufficient
Jẹ àjẹ ìwẹ̀yìn,eat without looking back,Not having emphathy
Fi àáké kọ́rí,Hang axe on the head,Be stubborn
Ó fi ẹ̀jẹ̀ dúdú sínú tutọ́ funfun jáde,He or she put black blood inside and spit a white blood ,He or she was being deceitful
Sisọ loju eégún,Remove cloth from masquerade,Go straight to the point
Sun kan ogiri,Push to the wall,Intolerance
Owó pọ̀ lọ́wọ́ mi,I have a lot of money,"I am broke, or I am short of money"
Ó rẹ̀ mi díẹ̀,I am a littel bit tired,I am feeling unwell
Ó sápá mi lórí,It is choked in my head,I am unable to recall
Mo fẹ́ lọ gbọnsẹ̀,I want to shake my legs,I want to go and use the toilet
Orí ń f'ọ́tá mi,My enemy has a headache,I have a headache
O kojú mi si oòrun alẹ́,You turn my face towards the evening sun,You disappointed me
Ó kọtí ikún sí mi,he put squirrel ear to me,Turn a deaf ear to someone 
Wàá jẹ iyán ẹ nísu,You will eat your pounded yam as yam,You wiill suffer
Ejó lọ́wọ́ nínú,Snake has hand inside,There is someone behind this
Má gbé oúnjẹ alẹ́ e f'ólógbò jẹ,Do not  give your night food to a cat,Do not give your future treasure to somebody else
Àárọ̀ ọjọ́,Morning is the day,childhood or youthful
Fi àbàrá kékeré gba ńlá,Use small slap receive big slap,to receive a heavy blow in return for a light one inflicted on someone else
Kan ojú abẹ ní ìkó,Knock a blade,to go straight to the point.
Abùṣe bùṣe,the deed is done,the matter is ended
Àfi orí afi ọrùn,"with head, with neck",at all cost
Ṣe àfọwọ́ra,use hand to disappear ,to steal petty things
Fi aga gbága,Clashing chair against chair,to compete.
Dá nÍ agara,To inflict weariness upon someone,to push someone to the wall or to become disgusted
Ko àgbákò,Meet Agbako,to be unfortunate
Já sí agbami,to fall in deep water,to let someone down / to be disappointed
Àgbọ́ fọwọ́ dití,"The one who hears, yet uses their hand to block their ears",meaningless talk or a loud noise
Jálé agbọ́n,To break agbon house,to cause oneself a misfortune.
Ké àgò,Greet door,ask for permission
Ti ajá ti ẹran,"With dog, with goat",all sorts of nonesense
Akéré korò,small bitter,a short devil
Alárìnjẹ,To walk and eat,a vagabond
Tẹ ojú ajẹ́ mọ́lẹ̀,To step on wealth face,to be extravagant
Lái sí àníyàn,without intention,with no hesitation
Da àníyàn sí ọ̀nà kan soso,put intention in one place,put all eggs in one basket
Anù mọ́ dàárò,He who wander with hesitation,an aimless wanderer
Fi ara balẹ̀,put body down,to be patient and at alert
Fi ara dàá,use body to accept it,endure
Ara fífà,drawing body,indisposition
Fi ara hàn,Show body,to present oneself
Ará rọ̀ọ́,body soft,to be comfortable or relieved
Fi ara sílẹ̀,Put body down,"to be caught unawares, unalert, not cautious"
Fi ara sinko,put body to bush,To hide
Gbé ara sọ,put body up,to stretch oneself beyond assumed capability
Fi ara wé,Use body to compare,to imitate or copy
Àṣírí tú,secret open,a secret is exposed
Tẹ orí gba aṣọ,press head to accept cloth,to die
Pa àtẹ́,display tray,to display a behaviour  in a derogatory way
Awọ ò kájú ìlù,leather does not cover drum,Lack or inability to make ends meet
Dé ara mọ́ awo olóókan,Sealing oneself within the secret of the one-hearted,to know one’s limit
Awó ya,cult remove,the secret is unveiled
Ní àyà,have chest,to be brave and courageous
Fi àyà tìí,use chest to push it,to endure/ stand with
Ṣe àyà gbàagbà,have a broad chest,to be bold and fearless
Ayírí,head-turner,unreliable person
Bá ẹkùn ní bùba,me lion in its deen,to encounter danger unexpectedly
Bá lójijì,meet surdenly,shocked or surprised
Ba ojú jẹ́,destroy eye,to express displeasure
Baba ní igbẹ́jọ́,daddy in judgement ,godfather 
 Bàsèjẹ́ ton su éyìn obì,The spoiler who is roasting the back of the kola nut,A destroyer
Bẹ́ ejò lórí,cut discussion head,to provide an immediate solution to a problem
Bẹ ilẹ̀ wò,greet house,to get information in a cunny way
Bojú bojú,close eye close eye,secrecy
Bònkẹ́lẹ́,concealed manner.,secret
Bọ́ lọ́wọ́,Slipping from the hand,to escape or to lose something
Féra kú,Loving oneself unto death,Get pregnant
